,role,buy,round,sell,time
236,spades,30,1.0,26,2024-02-22 18:09:49
237,spades,32,2.0,28,2024-02-22 18:10:02
238,spades,32,2.0,28,2024-02-22 18:10:08
239,spades,29,2.0,25,2024-02-22 18:10:12
240,spades,26,2.0,22,2024-02-22 18:10:18
241,spades,28,2.0,24,2024-02-22 18:10:38
242,spades,28,2.0,25,2024-02-22 18:11:03
243,spades,29,2.0,25,2024-02-22 18:11:06
244,spades,31,3.0,27,2024-02-22 18:11:35
245,spades,28,3.0,24,2024-02-22 18:12:15
246,spades,30,3.0,26,2024-02-22 18:12:42
247,spades,32,3.0,28,2024-02-22 18:12:47
248,spades,33,4.0,29,2024-02-22 18:13:11
249,spades,34,4.0,30,2024-02-22 18:13:26
250,spades,32,4.0,28,2024-02-22 18:13:33
251,spades,34,4.0,30,2024-02-22 18:13:56
252,spades,34,5.0,30,2024-02-22 18:14:38
253,spades,35,5.0,31,2024-02-22 18:14:41
254,spades,34,5.0,32,2024-02-22 18:15:13
255,spades,34,5.0,30,2024-02-22 18:15:41
256,spades,34,5.0,30,2024-02-22 18:15:58
257,spades,36,6.0,32,2024-02-22 18:16:35
258,spades,38,7.0,34,2024-02-22 18:17:46
259,spades,38,7.0,35,2024-02-22 18:17:49
260,spades,38,7.0,36,2024-02-22 18:17:57
261,spades,37,7.0,34,2024-02-22 18:18:01
262,spades,37,7.0,34,2024-02-22 18:18:06
263,spades,37,7.0,35,2024-02-22 18:18:11
264,spades,39,7.0,35,2024-02-22 18:18:18
265,spades,37,7.0,33,2024-02-22 18:18:45
266,spades,39,8.0,35,2024-02-22 18:19:20
267,spades,40,8.0,36,2024-02-22 18:19:29
268,spades,40,8.0,37,2024-02-22 18:20:03
269,spades,38,8.0,34,2024-02-22 18:20:13
270,spades,38,9.0,34,2024-02-22 18:20:57
271,spades,40,9.0,36,2024-02-22 18:21:06
272,spades,40,9.0,37,2024-02-22 18:21:11
273,spades,40,9.0,38,2024-02-22 18:22:06
274,spades,42,10.0,38,2024-02-22 18:22:22
275,spades,42,10.0,39,2024-02-22 18:22:25
276,spades,42,10.0,40,2024-02-22 18:22:27
277,spades,42,10.0,38,2024-02-22 18:22:42
278,spades,41,10.0,38,2024-02-22 18:23:37
279,spades,41,10.0,37,2024-02-22 18:23:42
280,spades,43,11.0,39,2024-02-22 18:24:09
281,spades,41,11.0,37,2024-02-22 18:24:27
282,spades,40,11.0,36,2024-02-22 18:24:33
283,spades,38,12.0,34,2024-02-22 18:25:27
284,spades,35,12.0,31,2024-02-22 18:25:36
285,spades,32,12.0,29,2024-02-22 18:25:40
286,spades,32,12.0,28,2024-02-22 18:25:57
287,spades,35,12.0,31,2024-02-22 18:26:04
288,spades,37,12.0,33,2024-02-22 18:26:08
289,spades,39,12.0,35,2024-02-22 18:26:18
290,spades,39,12.0,35,2024-02-22 18:26:22
291,spades,40,12.0,36,2024-02-22 18:26:28
292,spades,38,13.0,35,2024-02-22 18:27:04
293,spades,37,13.0,35,2024-02-22 18:27:07
294,spades,37,13.0,33,2024-02-22 18:27:20
