game_id,market,actor,actor_id,price,round,type,date,time
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:58:763
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,50,32,sell,22/2/2024,18:57:715
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:47
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,50,32,sell,22/2/2024,18:57:157
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:644
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,49,32,sell,22/2/2024,18:57:656
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:199
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,49,32,sell,22/2/2024,18:57:224
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:624
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:151
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:698
op-PyjkPu7rO,hearts,Yimeng,6c314841-1137-4f22-8285-53b02057ee8f,51,32,buy,22/2/2024,18:57:581
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:196
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:654
op-PyjkPu7rO,hearts,Yimeng,6c314841-1137-4f22-8285-53b02057ee8f,51,32,buy,22/2/2024,18:57:748
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:111
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:775
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:267
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:714
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:380
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:86
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,49,32,sell,22/2/2024,18:57:565
op-PyjkPu7rO,diamonds,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,51,32,buy,22/2/2024,18:57:234
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,42,32,buy,22/2/2024,18:57:287
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,39,32,sell,22/2/2024,18:57:158
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,42,32,buy,22/2/2024,18:57:923
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,39,32,sell,22/2/2024,18:57:497
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,42,32,buy,22/2/2024,18:57:580
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,39,32,sell,22/2/2024,18:57:965
op-PyjkPu7rO,diamonds,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,32,sell,22/2/2024,18:57:508
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,51,32,buy,22/2/2024,18:57:508
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,39,32,sell,22/2/2024,18:57:452
op-PyjkPu7rO,diamonds,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,32,sell,22/2/2024,18:57:186
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,61,32,sell,22/2/2024,18:57:831
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,42,32,buy,22/2/2024,18:57:379
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,61,32,sell,22/2/2024,18:57:188
op-PyjkPu7rO,diamonds,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,61,32,sell,22/2/2024,18:57:600
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,61,32,sell,22/2/2024,18:57:670
op-PyjkPu7rO,diamonds,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,61,32,sell,22/2/2024,18:57:870
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,61,32,sell,22/2/2024,18:57:110
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:85
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,63,31,buy,22/2/2024,18:57:540
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:410
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,63,31,buy,22/2/2024,18:57:181
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:879
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,63,31,buy,22/2/2024,18:57:834
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,62,31,buy,22/2/2024,18:57:541
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:316
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,62,31,buy,22/2/2024,18:57:100
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,62,31,buy,22/2/2024,18:57:781
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:662
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,62,31,buy,22/2/2024,18:57:488
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,42,31,buy,22/2/2024,18:57:474
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,61,31,buy,22/2/2024,18:57:177
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:998
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,61,31,buy,22/2/2024,18:57:800
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:647
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:57:413
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:300
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:57:16
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:57:562
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:705
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:57:150
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:57:103
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:57:802
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:57:382
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:512
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:785
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:189
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:707
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:155
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:214
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:645
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,42,31,buy,22/2/2024,18:56:359
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:940
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:56:864
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,42,31,buy,22/2/2024,18:56:578
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:448
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,58,31,sell,22/2/2024,18:56:34
op-PyjkPu7rO,diamonds,Ronald,41532ea6-2bbe-4327-aafa-5d97b4d52457,60,31,buy,22/2/2024,18:56:641
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,39,31,sell,22/2/2024,18:56:577
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,41,31,buy,22/2/2024,18:56:201
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,38,31,sell,22/2/2024,18:56:177
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,41,31,buy,22/2/2024,18:56:705
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,38,31,sell,22/2/2024,18:56:699
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,40,31,buy,22/2/2024,18:56:333
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,58,31,sell,22/2/2024,18:56:922
op-PyjkPu7rO,hearts,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,40,31,buy,22/2/2024,18:56:617
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,40,31,buy,22/2/2024,18:56:199
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,58,31,sell,22/2/2024,18:56:875
op-PyjkPu7rO,diamonds,jacky,f6ee3ebc-f691-4e17-9b78-a22488bdaa2e,58,31,sell,22/2/2024,18:56:430
op-PyjkPu7rO,hearts,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,37,31,buy,22/2/2024,18:56:548
op-PyjkPu7rO,diamonds,xin,dc16afcd-8787-45fd-8921-a531ec0cefa1,58,31,sell,22/2/2024,18:56:52
